::1 - - [13/Jun/2026:01:55:23 +0000] "GET /api/v1/especialidades/1 HTTP/1.1" 200 129 "-" "PostmanRuntime/7.54.0"
::1 - - [13/Jun/2026:02:30:20 +0000] "POST /api/v1/password/forgot HTTP/1.1" 400 60 "-" "PostmanRuntime/7.54.0"
::1 - - [14/Jun/2026:22:59:48 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 52 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:00:39 +0000] "POST /api/v1/auth/login/ HTTP/1.1" 200 52 "-" "PostmanRuntime/7.54.0"
::1 - - [14/Jun/2026:23:06:31 +0000] "POST /api/v1/auth/login HTTP/1.1" 401 52 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 15737 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:06:40 +0000] "GET /docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [14/Jun/2026:23:07:23 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 219 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 17572 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:07 +0000] "GET /docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:00:21 +0000] "GET /api/v1/medicos HTTP/1.1" 403 62 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:01:54 +0000] "POST /api/v1/auth/login HTTP/1.1" 200 219 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:02:40 +0000] "GET /api/v1/medicos HTTP/1.1" 200 580 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:17 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:17 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:17 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:17 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:17 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 17573 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:18 +0000] "GET /docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 17546 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:04:36 +0000] "GET /docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/swagger-ui.css HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/swagger-ui-bundle.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 17684 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:05:31 +0000] "GET /docs/favicon-32x32.png HTTP/1.1" 304 - "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:07:16 +0000] "GET /docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
::1 - - [15/Jun/2026:01:07:16 +0000] "GET /docs/swagger-ui-init.js HTTP/1.1" 200 17828 "http://localhost:3001/docs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
